x	prime	fixed	sma	med	big
121	0.1002	0.1252	0.1011	0.0968	0.0903
122	0.099	0.1338	0.0992	0.0952	0.09
123	0.1021	0.1316	0.0969	0.093	0.09
124	0.0992	0.1322	0.0999	0.0934	0.0897
125	0.1018	0.1312	0.1017	0.0953	0.0918
126	0.1006	0.1273	0.0995	0.0936	0.0886
127	0.101	0.1324	0.0971	0.0935	0.0884
128	0.1027	0.1332	0.0987	0.0934	0.0896
129	0.1016	0.1273	0.0959	0.0938	0.0888
130	0.1015	0.1291	0.0984	0.0952	0.09
131	0.1004	0.1324	0.0985	0.0929	0.0883
132	0.0981	0.1274	0.0974	0.0928	0.0885
133	0.0981	0.1276	0.0977	0.0912	0.0895
134	0.0999	0.1284	0.0961	0.0923	0.0899
135	0.0998	0.1314	0.0968	0.0918	0.0909
136	0.102	0.131	0.0994	0.0937	0.0873
137	0.0999	0.1306	0.0992	0.094	0.0888
138	0.1003	0.1345	0.0982	0.0915	0.0867
139	0.0993	0.1269	0.0959	0.0928	0.0881
140	0.0992	0.1321	0.0954	0.0922	0.0867
141	0.0999	0.133	0.0971	0.0934	0.0882
142	0.1011	0.1291	0.0971	0.0921	0.0904
143	0.0998	0.1255	0.098	0.0937	0.0875
144	0.0996	0.1314	0.0971	0.0914	0.087
145	0.0996	0.1391	0.0958	0.0928	0.0899
146	0.1003	0.1296	0.0966	0.0939	0.0876
147	0.0991	0.1261	0.0988	0.0931	0.0886
148	0.0995	0.1289	0.0976	0.0946	0.0881
149	0.1007	0.1252	0.0954	0.0907	0.0881
150	0.1008	0.1309	0.0956	0.0921	0.0848
151	0.1003	0.124	0.0986	0.0896	0.0871
152	0.0997	0.1265	0.0968	0.092	0.087
153	0.0986	0.1335	0.0968	0.0922	0.0892
154	0.0986	0.1259	0.0972	0.0931	0.0872
155	0.1006	0.1324	0.0968	0.0937	0.0896
156	0.0963	0.1367	0.0975	0.0921	0.087
157	0.0984	0.1262	0.0956	0.0908	0.0881
158	0.1007	0.1292	0.0963	0.0927	0.0877
159	0.1019	0.1264	0.0968	0.0914	0.0876
160	0.0972	0.1296	0.0967	0.0911	0.0871
161	0.0958	0.1261	0.0995	0.0912	0.088
162	0.0987	0.1268	0.0965	0.0908	0.0867
163	0.0974	0.1289	0.0972	0.0903	0.0883
164	0.0984	0.1334	0.0934	0.0915	0.0871
165	0.1006	0.1271	0.0969	0.0919	0.0867
166	0.0975	0.1304	0.0965	0.0944	0.0877
167	0.1003	0.1286	0.0951	0.0901	0.0892
